=== STDOUT ===
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 84,935,808
  scalars                 : 24
  total                   : 135,267,480
Estimated FLOPs per token: 6.889213e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011376 | lrm: 1.00 | dt: 85122ms | tok/sec: 6,159 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.811832 | lrm: 1.00 | dt: 789ms | tok/sec: 664,553 | mfu: 46.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.347072 | lrm: 1.00 | dt: 824ms | tok/sec: 636,411 | mfu: 44.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.852367 | lrm: 1.00 | dt: 823ms | tok/sec: 636,770 | mfu: 44.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.445939 | lrm: 1.00 | dt: 819ms | tok/sec: 640,065 | mfu: 44.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.126022 | lrm: 1.00 | dt: 812ms | tok/sec: 645,698 | mfu: 45.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.889601 | lrm: 1.00 | dt: 814ms | tok/sec: 643,860 | mfu: 44.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.683385 | lrm: 1.00 | dt: 817ms | tok/sec: 641,368 | mfu: 44.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.509132 | lrm: 1.00 | dt: 820ms | tok/sec: 639,332 | mfu: 44.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.363757 | lrm: 1.00 | dt: 820ms | tok/sec: 639,381 | mfu: 44.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.236281 | lrm: 1.00 | dt: 819ms | tok/sec: 640,452 | mfu: 44.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.131783 | lrm: 1.00 | dt: 822ms | tok/sec: 638,094 | mfu: 44.4% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.039481 | lrm: 1.00 | dt: 818ms | tok/sec: 641,160 | mfu: 44.6% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 5.959633 | lrm: 1.00 | dt: 821ms | tok/sec: 638,497 | mfu: 44.5% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 5.888375 | lrm: 1.00 | dt: 820ms | tok/sec: 639,082 | mfu: 44.5% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 5.829522 | lrm: 1.00 | dt: 821ms | tok/sec: 638,537 | mfu: 44.5% | epoch: 1 | remaining: 296s    
step 00016 (1.4%) | loss: 5.779175 | lrm: 1.00 | dt: 821ms | tok/sec: 638,333 | mfu: 44.4% | epoch: 1 | remaining: 295s    
step 00017 (1.6%) | loss: 5.726716 | lrm: 1.00 | dt: 819ms | tok/sec: 640,017 | mfu: 44.6% | epoch: 1 | remaining: 294s    
step 00018 (1.9%) | loss: 5.680720 | lrm: 1.00 | dt: 820ms | tok/sec: 639,520 | mfu: 44.5% | epoch: 1 | remaining: 293s    
step 00019 (2.2%) | loss: 5.639361 | lrm: 1.00 | dt: 821ms | tok/sec: 638,473 | mfu: 44.5% | epoch: 1 | remaining: 293s    
step 00020 (2.5%) | loss: 5.600012 | lrm: 1.00 | dt: 821ms | tok/sec: 638,343 | mfu: 44.4% | epoch: 1 | remaining: 292s    
step 00021 (2.7%) | loss: 5.561288 | lrm: 1.00 | dt: 820ms | tok/sec: 639,202 | mfu: 44.5% | epoch: 1 | remaining: 291s    
step 00022 (3.0%) | loss: 5.528469 | lrm: 1.00 | dt: 822ms | tok/sec: 637,435 | mfu: 44.4% | epoch: 1 | remaining: 290s    
step 00023 (3.3%) | loss: 5.491700 | lrm: 1.00 | dt: 820ms | tok/sec: 639,519 | mfu: 44.5% | epoch: 1 | remaining: 289s    
step 00024 (3.6%) | loss: 5.458156 | lrm: 1.00 | dt: 820ms | tok/sec: 639,262 | mfu: 44.5% | epoch: 1 | remaining: 289s    
step 00025 (3.8%) | loss: 5.424203 | lrm: 1.00 | dt: 820ms | tok/sec: 639,376 | mfu: 44.5% | epoch: 1 | remaining: 288s    
step 00026 (4.1%) | loss: 5.393867 | lrm: 1.00 | dt: 818ms | tok/sec: 640,893 | mfu: 44.6% | epoch: 1 | remaining: 287s    
step 00027 (4.4%) | loss: 5.364340 | lrm: 1.00 | dt: 827ms | tok/sec: 633,647 | mfu: 44.1% | epoch: 1 | remaining: 286s    
step 00028 (4.7%) | loss: 5.335899 | lrm: 1.00 | dt: 825ms | tok/sec: 635,762 | mfu: 44.3% | epoch: 1 | remaining: 285s    
step 00029 (4.9%) | loss: 5.307348 | lrm: 1.00 | dt: 824ms | tok/sec: 636,036 | mfu: 44.3% | epoch: 1 | remaining: 284s    
step 00030 (5.2%) | loss: 5.274596 | lrm: 1.00 | dt: 823ms | tok/sec: 637,419 | mfu: 44.4% | epoch: 1 | remaining: 284s    
step 00031 (5.5%) | loss: 5.246723 | lrm: 1.00 | dt: 821ms | tok/sec: 638,734 | mfu: 44.5% | epoch: 1 | remaining: 283s    
step 00032 (5.7%) | loss: 5.216610 | lrm: 1.00 | dt: 821ms | tok/sec: 638,633 | mfu: 44.5% | epoch: 1 | remaining: 282s    
step 00033 (6.0%) | loss: 5.193636 | lrm: 1.00 | dt: 826ms | tok/sec: 634,780 | mfu: 44.2% | epoch: 1 | remaining: 281s    
step 00034 (6.3%) | loss: 5.162767 | lrm: 1.00 | dt: 822ms | tok/sec: 637,728 | mfu: 44.4% | epoch: 1 | remaining: 280s    
step 00035 (6.6%) | loss: 5.133510 | lrm: 1.00 | dt: 825ms | tok/sec: 635,169 | mfu: 44.2% | epoch: 1 | remaining: 279s    
step 00036 (6.8%) | loss: 5.103665 | lrm: 1.00 | dt: 823ms | tok/sec: 637,347 | mfu: 44.4% | epoch: 1 | remaining: 279s    
step 00037 (7.1%) | loss: 5.074871 | lrm: 1.00 | dt: 822ms | tok/sec: 638,153 | mfu: 44.4% | epoch: 1 | remaining: 278s    
step 00038 (7.4%) | loss: 5.047010 | lrm: 1.00 | dt: 824ms | tok/sec: 636,285 | mfu: 44.3% | epoch: 1 | remaining: 277s    
step 00039 (7.7%) | loss: 5.019708 | lrm: 1.00 | dt: 823ms | tok/sec: 637,256 | mfu: 44.4% | epoch: 1 | remaining: 276s    
step 00040 (7.9%) | loss: 4.993109 | lrm: 1.00 | dt: 830ms | tok/sec: 631,939 | mfu: 44.0% | epoch: 1 | remaining: 275s    
step 00041 (8.2%) | loss: 4.966049 | lrm: 1.00 | dt: 825ms | tok/sec: 635,609 | mfu: 44.3% | epoch: 1 | remaining: 275s    
step 00042 (8.5%) | loss: 4.939138 | lrm: 1.00 | dt: 822ms | tok/sec: 638,137 | mfu: 44.4% | epoch: 1 | remaining: 274s    
step 00043 (8.8%) | loss: 4.912691 | lrm: 1.00 | dt: 825ms | tok/sec: 635,116 | mfu: 44.2% | epoch: 1 | remaining: 273s    
step 00044 (9.0%) | loss: 4.881340 | lrm: 1.00 | dt: 824ms | tok/sec: 636,218 | mfu: 44.3% | epoch: 1 | remaining: 272s    
step 00045 (9.3%) | loss: 4.853980 | lrm: 1.00 | dt: 825ms | tok/sec: 635,473 | mfu: 44.2% | epoch: 1 | remaining: 271s    
step 00046 (9.6%) | loss: 4.821208 | lrm: 1.00 | dt: 820ms | tok/sec: 639,253 | mfu: 44.5% | epoch: 1 | remaining: 270s    
step 00047 (9.9%) | loss: 4.784608 | lrm: 1.00 | dt: 821ms | tok/sec: 638,523 | mfu: 44.5% | epoch: 1 | remaining: 270s    
step 00048 (10.1%) | loss: 4.760870 | lrm: 1.00 | dt: 822ms | tok/sec: 637,788 | mfu: 44.4% | epoch: 1 | remaining: 269s    
step 00049 (10.4%) | loss: 4.727463 | lrm: 1.00 | dt: 823ms | tok/sec: 636,895 | mfu: 44.3% | epoch: 1 | remaining: 268s    
step 00050 (10.7%) | loss: 4.698463 | lrm: 1.00 | dt: 825ms | tok/sec: 635,522 | mfu: 44.2% | epoch: 1 | remaining: 267s    
step 00051 (11.0%) | loss: 4.673977 | lrm: 1.00 | dt: 824ms | tok/sec: 636,384 | mfu: 44.3% | epoch: 1 | remaining: 266s    
step 00052 (11.2%) | loss: 4.645261 | lrm: 1.00 | dt: 821ms | tok/sec: 638,750 | mfu: 44.5% | epoch: 1 | remaining: 265s    
step 00053 (11.5%) | loss: 4.616290 | lrm: 1.00 | dt: 823ms | tok/sec: 636,734 | mfu: 44.3% | epoch: 1 | remaining: 265s    
step 00054 (11.8%) | loss: 4.589261 | lrm: 1.00 | dt: 821ms | tok/sec: 638,675 | mfu: 44.5% | epoch: 1 | remaining: 264s    
step 00055 (12.1%) | loss: 4.555970 | lrm: 1.00 | dt: 824ms | tok/sec: 636,236 | mfu: 44.3% | epoch: 1 | remaining: 263s    
step 00056 (12.3%) | loss: 4.532307 | lrm: 1.00 | dt: 820ms | tok/sec: 639,002 | mfu: 44.5% | epoch: 1 | remaining: 262s    
step 00057 (12.6%) | loss: 4.507566 | lrm: 1.00 | dt: 822ms | tok/sec: 637,449 | mfu: 44.4% | epoch: 1 | remaining: 261s    
step 00058 (12.9%) | loss: 4.473764 | lrm: 1.00 | dt: 824ms | tok/sec: 636,636 | mfu: 44.3% | epoch: 1 | remaining: 261s    
step 00059 (13.2%) | loss: 4.448470 | lrm: 1.00 | dt: 824ms | tok/sec: 635,944 | mfu: 44.3% | epoch: 1 | remaining: 260s    
step 00060 (13.4%) | loss: 4.421094 | lrm: 1.00 | dt: 823ms | tok/sec: 637,351 | mfu: 44.4% | epoch: 1 | remaining: 259s    
step 00061 (13.7%) | loss: 4.390297 | lrm: 1.00 | dt: 822ms | tok/sec: 637,836 | mfu: 44.4% | epoch: 1 | remaining: 258s    
step 00062 (14.0%) | loss: 4.370573 | lrm: 1.00 | dt: 821ms | tok/sec: 638,284 | mfu: 44.4% | epoch: 1 | remaining: 257s    
step 00063 (14.3%) | loss: 4.346811 | lrm: 1.00 | dt: 824ms | tok/sec: 635,968 | mfu: 44.3% | epoch: 1 | remaining: 256s    
step 00064 (14.5%) | loss: 4.325256 | lrm: 1.00 | dt: 823ms | tok/sec: 637,229 | mfu: 44.4% | epoch: 1 | remaining: 256s    
step 00065 (14.8%) | loss: 4.292767 | lrm: 1.00 | dt: 822ms | tok/sec: 637,513 | mfu: 44.4% | epoch: 1 | remaining: 255s    
step 00066 (15.1%) | loss: 4.262088 | lrm: 1.00 | dt: 824ms | tok/sec: 635,933 | mfu: 44.3% | epoch: 1 | remaining: 254s    
step 00067 (15.4%) | loss: 4.239468 | lrm: 1.00 | dt: 826ms | tok/sec: 635,060 | mfu: 44.2% | epoch: 1 | remaining: 253s    
