=== STDOUT ===
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 84,935,808
  scalars                 : 24
  total                   : 135,267,480
Estimated FLOPs per token: 6.889213e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011376 | lrm: 1.00 | dt: 16864ms | tok/sec: 31,089 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.833758 | lrm: 1.00 | dt: 776ms | tok/sec: 676,064 | mfu: 47.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.325074 | lrm: 1.00 | dt: 811ms | tok/sec: 646,202 | mfu: 45.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.821439 | lrm: 1.00 | dt: 810ms | tok/sec: 647,628 | mfu: 45.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.409005 | lrm: 1.00 | dt: 804ms | tok/sec: 651,968 | mfu: 45.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.097929 | lrm: 1.00 | dt: 801ms | tok/sec: 654,240 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.865215 | lrm: 1.00 | dt: 798ms | tok/sec: 657,270 | mfu: 45.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.661939 | lrm: 1.00 | dt: 799ms | tok/sec: 656,499 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.491686 | lrm: 1.00 | dt: 802ms | tok/sec: 653,950 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.349513 | lrm: 1.00 | dt: 801ms | tok/sec: 654,533 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.224379 | lrm: 1.00 | dt: 800ms | tok/sec: 655,308 | mfu: 45.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.121585 | lrm: 1.00 | dt: 799ms | tok/sec: 656,054 | mfu: 45.7% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.030726 | lrm: 1.00 | dt: 800ms | tok/sec: 654,970 | mfu: 45.6% | epoch: 1 | remaining: 298s    
