=== STDOUT ===
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 6,291,456
  value_embeds            : 37,748,736
  lm_head                 : 6,291,456
  transformer_matrices    : 84,935,808
  scalars                 : 24
  total                   : 135,267,480
Estimated FLOPs per token: 6.889213e+08
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.011376 | lrm: 1.00 | dt: 44997ms | tok/sec: 11,651 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.817259 | lrm: 1.00 | dt: 865ms | tok/sec: 606,407 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.325089 | lrm: 1.00 | dt: 1075ms | tok/sec: 487,509 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.837795 | lrm: 1.00 | dt: 851ms | tok/sec: 615,873 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.418525 | lrm: 1.00 | dt: 813ms | tok/sec: 644,899 | mfu: 44.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.103849 | lrm: 1.00 | dt: 809ms | tok/sec: 648,411 | mfu: 45.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.862040 | lrm: 1.00 | dt: 799ms | tok/sec: 656,511 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.656250 | lrm: 1.00 | dt: 803ms | tok/sec: 652,699 | mfu: 45.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.485341 | lrm: 1.00 | dt: 808ms | tok/sec: 648,883 | mfu: 45.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.343680 | lrm: 1.00 | dt: 807ms | tok/sec: 649,752 | mfu: 45.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.221345 | lrm: 1.00 | dt: 803ms | tok/sec: 652,844 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.122327 | lrm: 1.00 | dt: 804ms | tok/sec: 652,195 | mfu: 45.4% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.033020 | lrm: 1.00 | dt: 810ms | tok/sec: 647,007 | mfu: 45.0% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 5.953890 | lrm: 1.00 | dt: 805ms | tok/sec: 651,534 | mfu: 45.4% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 5.882619 | lrm: 1.00 | dt: 805ms | tok/sec: 651,680 | mfu: 45.4% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 5.822267 | lrm: 1.00 | dt: 810ms | tok/sec: 647,483 | mfu: 45.1% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 5.770042 | lrm: 1.00 | dt: 803ms | tok/sec: 653,144 | mfu: 45.5% | epoch: 1 | remaining: 295s    
step 00017 (1.6%) | loss: 5.715877 | lrm: 1.00 | dt: 803ms | tok/sec: 653,118 | mfu: 45.5% | epoch: 1 | remaining: 294s    
step 00018 (1.9%) | loss: 5.666486 | lrm: 1.00 | dt: 811ms | tok/sec: 646,505 | mfu: 45.0% | epoch: 1 | remaining: 294s    
step 00019 (2.1%) | loss: 5.619858 | lrm: 1.00 | dt: 803ms | tok/sec: 652,609 | mfu: 45.4% | epoch: 1 | remaining: 293s    
step 00020 (2.4%) | loss: 5.574297 | lrm: 1.00 | dt: 806ms | tok/sec: 650,403 | mfu: 45.3% | epoch: 1 | remaining: 292s    
step 00021 (2.7%) | loss: 5.530365 | lrm: 1.00 | dt: 812ms | tok/sec: 646,046 | mfu: 45.0% | epoch: 1 | remaining: 291s    
step 00022 (3.0%) | loss: 5.493066 | lrm: 1.00 | dt: 802ms | tok/sec: 653,624 | mfu: 45.5% | epoch: 1 | remaining: 290s    
step 00023 (3.2%) | loss: 5.450527 | lrm: 1.00 | dt: 804ms | tok/sec: 652,133 | mfu: 45.4% | epoch: 1 | remaining: 290s    
step 00024 (3.5%) | loss: 5.411088 | lrm: 1.00 | dt: 809ms | tok/sec: 647,717 | mfu: 45.1% | epoch: 1 | remaining: 289s    
step 00025 (3.8%) | loss: 5.371310 | lrm: 1.00 | dt: 804ms | tok/sec: 652,214 | mfu: 45.4% | epoch: 1 | remaining: 288s    
step 00026 (4.0%) | loss: 5.336209 | lrm: 1.00 | dt: 803ms | tok/sec: 652,997 | mfu: 45.5% | epoch: 1 | remaining: 287s    
step 00027 (4.3%) | loss: 5.302922 | lrm: 1.00 | dt: 802ms | tok/sec: 653,615 | mfu: 45.5% | epoch: 1 | remaining: 286s    
step 00028 (4.6%) | loss: 5.271208 | lrm: 1.00 | dt: 811ms | tok/sec: 646,077 | mfu: 45.0% | epoch: 1 | remaining: 285s    
step 00029 (4.8%) | loss: 5.240143 | lrm: 1.00 | dt: 805ms | tok/sec: 651,640 | mfu: 45.4% | epoch: 1 | remaining: 285s    
step 00030 (5.1%) | loss: 5.202593 | lrm: 1.00 | dt: 812ms | tok/sec: 645,576 | mfu: 44.9% | epoch: 1 | remaining: 284s    
step 00031 (5.4%) | loss: 5.171311 | lrm: 1.00 | dt: 805ms | tok/sec: 651,413 | mfu: 45.4% | epoch: 1 | remaining: 283s    
step 00032 (5.6%) | loss: 5.138660 | lrm: 1.00 | dt: 804ms | tok/sec: 651,809 | mfu: 45.4% | epoch: 1 | remaining: 282s    
step 00033 (5.9%) | loss: 5.113049 | lrm: 1.00 | dt: 809ms | tok/sec: 647,757 | mfu: 45.1% | epoch: 1 | remaining: 281s    
step 00034 (6.2%) | loss: 5.078693 | lrm: 1.00 | dt: 806ms | tok/sec: 650,085 | mfu: 45.3% | epoch: 1 | remaining: 281s    
step 00035 (6.4%) | loss: 5.046928 | lrm: 1.00 | dt: 811ms | tok/sec: 646,195 | mfu: 45.0% | epoch: 1 | remaining: 280s    
step 00036 (6.7%) | loss: 5.015120 | lrm: 1.00 | dt: 807ms | tok/sec: 649,945 | mfu: 45.3% | epoch: 1 | remaining: 279s    
step 00037 (7.0%) | loss: 4.983409 | lrm: 1.00 | dt: 805ms | tok/sec: 651,091 | mfu: 45.3% | epoch: 1 | remaining: 278s    
step 00038 (7.3%) | loss: 4.951617 | lrm: 1.00 | dt: 810ms | tok/sec: 647,080 | mfu: 45.1% | epoch: 1 | remaining: 277s    
step 00039 (7.5%) | loss: 4.919854 | lrm: 1.00 | dt: 806ms | tok/sec: 650,088 | mfu: 45.3% | epoch: 1 | remaining: 277s    
step 00040 (7.8%) | loss: 4.891006 | lrm: 1.00 | dt: 811ms | tok/sec: 646,485 | mfu: 45.0% | epoch: 1 | remaining: 276s    
step 00041 (8.1%) | loss: 4.862063 | lrm: 1.00 | dt: 808ms | tok/sec: 648,957 | mfu: 45.2% | epoch: 1 | remaining: 275s    
step 00042 (8.3%) | loss: 4.833909 | lrm: 1.00 | dt: 813ms | tok/sec: 644,982 | mfu: 44.9% | epoch: 1 | remaining: 274s    
step 00043 (8.6%) | loss: 4.806833 | lrm: 1.00 | dt: 804ms | tok/sec: 652,296 | mfu: 45.4% | epoch: 1 | remaining: 273s    
step 00044 (8.9%) | loss: 4.774767 | lrm: 1.00 | dt: 806ms | tok/sec: 650,673 | mfu: 45.3% | epoch: 1 | remaining: 273s    
step 00045 (9.1%) | loss: 4.744909 | lrm: 1.00 | dt: 811ms | tok/sec: 646,720 | mfu: 45.0% | epoch: 1 | remaining: 272s    
step 00046 (9.4%) | loss: 4.711405 | lrm: 1.00 | dt: 803ms | tok/sec: 653,030 | mfu: 45.5% | epoch: 1 | remaining: 271s    
step 00047 (9.7%) | loss: 4.674599 | lrm: 1.00 | dt: 809ms | tok/sec: 648,360 | mfu: 45.1% | epoch: 1 | remaining: 270s    
step 00048 (10.0%) | loss: 4.652756 | lrm: 1.00 | dt: 807ms | tok/sec: 649,389 | mfu: 45.2% | epoch: 1 | remaining: 269s    
step 00049 (10.2%) | loss: 4.619995 | lrm: 1.00 | dt: 804ms | tok/sec: 652,391 | mfu: 45.4% | epoch: 1 | remaining: 269s    
step 00050 (10.5%) | loss: 4.591309 | lrm: 1.00 | dt: 811ms | tok/sec: 646,381 | mfu: 45.0% | epoch: 1 | remaining: 268s    
step 00051 (10.8%) | loss: 4.565094 | lrm: 1.00 | dt: 806ms | tok/sec: 650,331 | mfu: 45.3% | epoch: 1 | remaining: 267s    
step 00052 (11.0%) | loss: 4.535402 | lrm: 1.00 | dt: 811ms | tok/sec: 646,471 | mfu: 45.0% | epoch: 1 | remaining: 266s    
step 00053 (11.3%) | loss: 4.507943 | lrm: 1.00 | dt: 807ms | tok/sec: 649,567 | mfu: 45.2% | epoch: 1 | remaining: 265s    
step 00054 (11.6%) | loss: 4.481471 | lrm: 1.00 | dt: 806ms | tok/sec: 650,696 | mfu: 45.3% | epoch: 1 | remaining: 264s    
step 00055 (11.8%) | loss: 4.444926 | lrm: 1.00 | dt: 812ms | tok/sec: 645,831 | mfu: 45.0% | epoch: 1 | remaining: 264s    
step 00056 (12.1%) | loss: 4.420142 | lrm: 1.00 | dt: 806ms | tok/sec: 650,705 | mfu: 45.3% | epoch: 1 | remaining: 263s    
step 00057 (12.4%) | loss: 4.393759 | lrm: 1.00 | dt: 813ms | tok/sec: 644,980 | mfu: 44.9% | epoch: 1 | remaining: 262s    
step 00058 (12.6%) | loss: 4.360609 | lrm: 1.00 | dt: 805ms | tok/sec: 651,641 | mfu: 45.4% | epoch: 1 | remaining: 261s    
step 00059 (12.9%) | loss: 4.334563 | lrm: 1.00 | dt: 812ms | tok/sec: 645,694 | mfu: 45.0% | epoch: 1 | remaining: 260s    
step 00060 (13.2%) | loss: 4.308676 | lrm: 1.00 | dt: 807ms | tok/sec: 649,966 | mfu: 45.3% | epoch: 1 | remaining: 260s    
step 00061 (13.5%) | loss: 4.278180 | lrm: 1.00 | dt: 807ms | tok/sec: 650,052 | mfu: 45.3% | epoch: 1 | remaining: 259s    
step 00062 (13.7%) | loss: 4.257895 | lrm: 1.00 | dt: 811ms | tok/sec: 646,737 | mfu: 45.0% | epoch: 1 | remaining: 258s    
step 00063 (14.0%) | loss: 4.235304 | lrm: 1.00 | dt: 804ms | tok/sec: 651,980 | mfu: 45.4% | epoch: 1 | remaining: 257s    
step 00064 (14.3%) | loss: 4.213862 | lrm: 1.00 | dt: 813ms | tok/sec: 645,027 | mfu: 44.9% | epoch: 1 | remaining: 256s    
step 00065 (14.5%) | loss: 4.180380 | lrm: 1.00 | dt: 805ms | tok/sec: 650,962 | mfu: 45.3% | epoch: 1 | remaining: 256s    
step 00066 (14.8%) | loss: 4.150514 | lrm: 1.00 | dt: 813ms | tok/sec: 645,174 | mfu: 44.9% | epoch: 1 | remaining: 255s    
step 00067 (15.1%) | loss: 4.129617 | lrm: 1.00 | dt: 807ms | tok/sec: 649,622 | mfu: 45.2% | epoch: 1 | remaining: 254s    
step 00068 (15.3%) | loss: 4.108144 | lrm: 1.00 | dt: 811ms | tok/sec: 646,770 | mfu: 45.0% | epoch: 1 | remaining: 253s    
step 00069 (15.6%) | loss: 4.089984 | lrm: 1.00 | dt: 805ms | tok/sec: 651,590 | mfu: 45.4% | epoch: 1 | remaining: 252s    
step 00070 (15.9%) | loss: 4.066703 | lrm: 1.00 | dt: 807ms | tok/sec: 649,702 | mfu: 45.2% | epoch: 1 | remaining: 252s    
step 00071 (16.1%) | loss: 4.041067 | lrm: 1.00 | dt: 810ms | tok/sec: 647,492 | mfu: 45.1% | epoch: 1 | remaining: 251s    
step 00072 (16.4%) | loss: 4.018436 | lrm: 1.00 | dt: 805ms | tok/sec: 651,178 | mfu: 45.3% | epoch: 1 | remaining: 250s    
step 00073 (16.7%) | loss: 3.993502 | lrm: 1.00 | dt: 808ms | tok/sec: 648,478 | mfu: 45.1% | epoch: 1 | remaining: 249s    
step 00074 (17.0%) | loss: 3.972429 | lrm: 1.00 | dt: 807ms | tok/sec: 649,987 | mfu: 45.3% | epoch: 1 | remaining: 248s    
step 00075 (17.2%) | loss: 3.954568 | lrm: 1.00 | dt: 804ms | tok/sec: 652,115 | mfu: 45.4% | epoch: 1 | remaining: 248s    
step 00076 (17.5%) | loss: 3.934099 | lrm: 1.00 | dt: 809ms | tok/sec: 647,776 | mfu: 45.1% | epoch: 1 | remaining: 247s    
step 00077 (17.8%) | loss: 3.919412 | lrm: 1.00 | dt: 807ms | tok/sec: 649,329 | mfu: 45.2% | epoch: 1 | remaining: 246s    
step 00078 (18.0%) | loss: 3.898010 | lrm: 1.00 | dt: 807ms | tok/sec: 649,651 | mfu: 45.2% | epoch: 1 | remaining: 245s    
step 00079 (18.3%) | loss: 3.883107 | lrm: 1.00 | dt: 812ms | tok/sec: 645,746 | mfu: 45.0% | epoch: 1 | remaining: 244s    
step 00080 (18.6%) | loss: 3.864137 | lrm: 1.00 | dt: 806ms | tok/sec: 650,811 | mfu: 45.3% | epoch: 1 | remaining: 243s    
step 00081 (18.8%) | loss: 3.841409 | lrm: 1.00 | dt: 813ms | tok/sec: 644,590 | mfu: 44.9% | epoch: 1 | remaining: 243s    
step 00082 (19.1%) | loss: 3.820763 | lrm: 1.00 | dt: 807ms | tok/sec: 649,974 | mfu: 45.3% | epoch: 1 | remaining: 242s    
step 00083 (19.4%) | loss: 3.801292 | lrm: 1.00 | dt: 810ms | tok/sec: 647,472 | mfu: 45.1% | epoch: 1 | remaining: 241s    
step 00084 (19.6%) | loss: 3.782395 | lrm: 1.00 | dt: 807ms | tok/sec: 649,764 | mfu: 45.2% | epoch: 1 | remaining: 240s    
step 00085 (19.9%) | loss: 3.773018 | lrm: 1.00 | dt: 803ms | tok/sec: 652,552 | mfu: 45.4% | epoch: 1 | remaining: 239s    
step 00086 (20.2%) | loss: 3.764526 | lrm: 1.00 | dt: 811ms | tok/sec: 646,432 | mfu: 45.0% | epoch: 1 | remaining: 239s    
step 00087 (20.5%) | loss: 3.750893 | lrm: 1.00 | dt: 806ms | tok/sec: 650,093 | mfu: 45.3% | epoch: 1 | remaining: 238s    
step 00088 (20.7%) | loss: 3.735766 | lrm: 1.00 | dt: 813ms | tok/sec: 644,736 | mfu: 44.9% | epoch: 1 | remaining: 237s    
step 00089 (21.0%) | loss: 3.721073 | lrm: 1.00 | dt: 803ms | tok/sec: 652,568 | mfu: 45.4% | epoch: 1 | remaining: 236s    
step 00090 (21.3%) | loss: 3.710961 | lrm: 1.00 | dt: 805ms | tok/sec: 651,618 | mfu: 45.4% | epoch: 1 | remaining: 235s    
step 00091 (21.5%) | loss: 3.695765 | lrm: 1.00 | dt: 812ms | tok/sec: 645,646 | mfu: 45.0% | epoch: 1 | remaining: 235s    
step 00092 (21.8%) | loss: 3.688600 | lrm: 1.00 | dt: 805ms | tok/sec: 651,281 | mfu: 45.3% | epoch: 1 | remaining: 234s    
step 00093 (22.1%) | loss: 3.685118 | lrm: 1.00 | dt: 812ms | tok/sec: 645,540 | mfu: 44.9% | epoch: 1 | remaining: 233s    
step 00094 (22.3%) | loss: 3.672709 | lrm: 1.00 | dt: 807ms | tok/sec: 650,070 | mfu: 45.3% | epoch: 1 | remaining: 232s    
step 00095 (22.6%) | loss: 3.662468 | lrm: 1.00 | dt: 812ms | tok/sec: 645,332 | mfu: 44.9% | epoch: 1 | remaining: 231s    
step 00096 (22.9%) | loss: 3.656535 | lrm: 1.00 | dt: 807ms | tok/sec: 649,488 | mfu: 45.2% | epoch: 1 | remaining: 231s    
step 00097 (23.1%) | loss: 3.641449 | lrm: 1.00 | dt: 811ms | tok/sec: 646,750 | mfu: 45.0% | epoch: 1 | remaining: 230s    
step 00098 (23.4%) | loss: 3.632619 | lrm: 1.00 | dt: 833ms | tok/sec: 629,416 | mfu: 43.8% | epoch: 1 | remaining: 229s    
step 00099 (23.7%) | loss: 3.623939 | lrm: 1.00 | dt: 812ms | tok/sec: 645,800 | mfu: 45.0% | epoch: 1 | remaining: 228s    
step 00100 (24.0%) | loss: 3.616161 | lrm: 1.00 | dt: 812ms | tok/sec: 645,324 | mfu: 44.9% | epoch: 1 | remaining: 227s    
