=== STDOUT ===
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 14156ms | tok/sec: 37,036 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.1%) | loss: 8.852940 | lrm: 1.00 | dt: 312ms | tok/sec: 1,680,646 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00002 (0.1%) | loss: 8.454998 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,241 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00003 (0.1%) | loss: 7.991564 | lrm: 1.00 | dt: 399ms | tok/sec: 1,314,207 | mfu: 31.8% | epoch: 1 | remaining: 300s    
step 00004 (0.2%) | loss: 7.595090 | lrm: 1.00 | dt: 314ms | tok/sec: 1,670,407 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00005 (0.2%) | loss: 7.264399 | lrm: 1.00 | dt: 314ms | tok/sec: 1,670,916 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00006 (0.3%) | loss: 7.013553 | lrm: 1.00 | dt: 331ms | tok/sec: 1,581,935 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00007 (0.4%) | loss: 6.805818 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,980 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00008 (0.4%) | loss: 6.626236 | lrm: 1.00 | dt: 316ms | tok/sec: 1,659,626 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00009 (0.4%) | loss: 6.474021 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,738 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00010 (0.5%) | loss: 6.344264 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,998 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00011 (0.5%) | loss: 6.236198 | lrm: 1.00 | dt: 314ms | tok/sec: 1,671,339 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00012 (0.6%) | loss: 6.139425 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,324 | mfu: 39.2% | epoch: 1 | remaining: 299s    
step 00013 (0.7%) | loss: 6.053340 | lrm: 1.00 | dt: 328ms | tok/sec: 1,600,085 | mfu: 38.7% | epoch: 1 | remaining: 299s    
step 00014 (0.7%) | loss: 5.980738 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,585 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00015 (0.8%) | loss: 5.915355 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,539 | mfu: 39.5% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 5.859907 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,569 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00017 (0.9%) | loss: 5.806363 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,974 | mfu: 39.8% | epoch: 1 | remaining: 298s    
step 00018 (0.9%) | loss: 5.758802 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,528 | mfu: 39.9% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.714751 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,837 | mfu: 38.9% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.674701 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,992 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.637683 | lrm: 1.00 | dt: 317ms | tok/sec: 1,654,552 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00022 (1.1%) | loss: 5.605758 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,500 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00023 (1.1%) | loss: 5.573162 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,080 | mfu: 39.5% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 5.542380 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,181 | mfu: 39.8% | epoch: 1 | remaining: 296s    
step 00025 (1.2%) | loss: 5.515197 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,853 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00026 (1.3%) | loss: 5.490184 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,212 | mfu: 39.2% | epoch: 1 | remaining: 295s    
step 00027 (1.4%) | loss: 5.466412 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,887 | mfu: 39.8% | epoch: 1 | remaining: 295s    
step 00028 (1.4%) | loss: 5.445139 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,797 | mfu: 39.4% | epoch: 1 | remaining: 294s    
step 00029 (1.5%) | loss: 5.423603 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,408 | mfu: 39.4% | epoch: 1 | remaining: 294s    
step 00030 (1.5%) | loss: 5.400465 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,166 | mfu: 39.4% | epoch: 1 | remaining: 294s    
step 00031 (1.6%) | loss: 5.377789 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,520 | mfu: 39.4% | epoch: 1 | remaining: 293s    
step 00032 (1.6%) | loss: 5.357460 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,986 | mfu: 39.4% | epoch: 1 | remaining: 293s    
step 00033 (1.7%) | loss: 5.338226 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,530 | mfu: 38.9% | epoch: 1 | remaining: 293s    
step 00034 (1.7%) | loss: 5.314252 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,733 | mfu: 39.0% | epoch: 1 | remaining: 292s    
step 00035 (1.8%) | loss: 5.294226 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,656 | mfu: 39.3% | epoch: 1 | remaining: 292s    
step 00036 (1.8%) | loss: 5.273579 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,721 | mfu: 39.2% | epoch: 1 | remaining: 292s    
step 00037 (1.8%) | loss: 5.252496 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,014 | mfu: 39.5% | epoch: 1 | remaining: 291s    
step 00038 (1.9%) | loss: 5.231386 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,969 | mfu: 39.4% | epoch: 1 | remaining: 291s    
step 00039 (1.9%) | loss: 5.210271 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,739 | mfu: 39.3% | epoch: 1 | remaining: 291s    
