=== STDOUT ===
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 8,388,608
  lm_head                 : 2,097,152
  transformer_matrices    : 6,291,712
  scalars                 : 16
  total                   : 18,874,640
Estimated FLOPs per token: 8.179046e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.010916 | lrm: 1.00 | dt: 9597ms | tok/sec: 54,632 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.120217 | lrm: 1.00 | dt: 229ms | tok/sec: 2,289,516 | mfu: 18.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.902346 | lrm: 1.00 | dt: 225ms | tok/sec: 2,328,497 | mfu: 19.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.537503 | lrm: 1.00 | dt: 307ms | tok/sec: 1,706,772 | mfu: 14.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.153739 | lrm: 1.00 | dt: 265ms | tok/sec: 1,975,900 | mfu: 16.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.828558 | lrm: 1.00 | dt: 213ms | tok/sec: 2,463,488 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.537546 | lrm: 1.00 | dt: 242ms | tok/sec: 2,163,181 | mfu: 17.9% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.293528 | lrm: 1.00 | dt: 215ms | tok/sec: 2,442,048 | mfu: 20.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.088779 | lrm: 1.00 | dt: 218ms | tok/sec: 2,407,537 | mfu: 19.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.910661 | lrm: 1.00 | dt: 222ms | tok/sec: 2,363,981 | mfu: 19.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.752797 | lrm: 1.00 | dt: 208ms | tok/sec: 2,520,211 | mfu: 20.8% | epoch: 1 | remaining: 300s    
