=== STDOUT ===
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 13335ms | tok/sec: 39,317 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.843984 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,396 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.466778 | lrm: 1.00 | dt: 309ms | tok/sec: 1,698,389 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.008160 | lrm: 1.00 | dt: 370ms | tok/sec: 1,416,228 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.628521 | lrm: 1.00 | dt: 315ms | tok/sec: 1,665,283 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.290809 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,060 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.033407 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,065 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.819206 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,619 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.635756 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,388 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.480443 | lrm: 1.00 | dt: 318ms | tok/sec: 1,650,715 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.347779 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,105 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.236993 | lrm: 1.00 | dt: 374ms | tok/sec: 1,401,122 | mfu: 33.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.138456 | lrm: 1.00 | dt: 674ms | tok/sec: 778,306 | mfu: 18.8% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.050597 | lrm: 1.00 | dt: 582ms | tok/sec: 901,468 | mfu: 21.8% | epoch: 1 | remaining: 298s    
step 00014 (0.5%) | loss: 5.976573 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,809 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00015 (0.7%) | loss: 5.910048 | lrm: 1.00 | dt: 350ms | tok/sec: 1,498,570 | mfu: 36.2% | epoch: 1 | remaining: 298s    
step 00016 (0.8%) | loss: 5.853051 | lrm: 1.00 | dt: 312ms | tok/sec: 1,682,235 | mfu: 40.6% | epoch: 1 | remaining: 297s    
step 00017 (0.9%) | loss: 5.797984 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,417 | mfu: 40.3% | epoch: 1 | remaining: 297s    
step 00018 (1.0%) | loss: 5.748364 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,205 | mfu: 39.6% | epoch: 1 | remaining: 297s    
step 00019 (1.1%) | loss: 5.702178 | lrm: 1.00 | dt: 339ms | tok/sec: 1,547,150 | mfu: 37.4% | epoch: 1 | remaining: 296s    
step 00020 (1.2%) | loss: 5.659881 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,760 | mfu: 39.5% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 5.620539 | lrm: 1.00 | dt: 315ms | tok/sec: 1,665,675 | mfu: 40.2% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 5.586008 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,907 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00023 (1.5%) | loss: 5.550052 | lrm: 1.00 | dt: 311ms | tok/sec: 1,685,389 | mfu: 40.7% | epoch: 1 | remaining: 295s    
step 00024 (1.6%) | loss: 5.515554 | lrm: 1.00 | dt: 313ms | tok/sec: 1,672,586 | mfu: 40.4% | epoch: 1 | remaining: 295s    
step 00025 (1.7%) | loss: 5.483995 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,276 | mfu: 39.6% | epoch: 1 | remaining: 295s    
