=== STDOUT ===
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 13512ms | tok/sec: 38,802 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.858769 | lrm: 1.00 | dt: 312ms | tok/sec: 1,678,032 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.421832 | lrm: 1.00 | dt: 312ms | tok/sec: 1,678,050 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.952776 | lrm: 1.00 | dt: 343ms | tok/sec: 1,528,096 | mfu: 36.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.546746 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,221 | mfu: 39.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.223609 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,785 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.971899 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,894 | mfu: 38.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.760917 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,384 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.584202 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,728 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.435021 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,930 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.310039 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,924 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.208005 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,199 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.114269 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,354 | mfu: 39.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.028582 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,458 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.955972 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,360 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.889867 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,281 | mfu: 39.1% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.832052 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,260 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.775475 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,849 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.724002 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,128 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.675710 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,547 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.630957 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,073 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.587301 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,300 | mfu: 39.1% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.548687 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,022 | mfu: 39.3% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.507483 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,256 | mfu: 39.2% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.467406 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,402 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.429834 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,522 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.394811 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,856 | mfu: 39.2% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.361470 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,000 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.329901 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,687 | mfu: 39.1% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.296795 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,520 | mfu: 39.1% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.261949 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,795 | mfu: 39.5% | epoch: 1 | remaining: 294s    
step 00031 (2.1%) | loss: 5.228027 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,122 | mfu: 39.2% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.197173 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,285 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.168591 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,941 | mfu: 39.2% | epoch: 1 | remaining: 293s    
step 00034 (2.5%) | loss: 5.133676 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,978 | mfu: 39.1% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.103349 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,169 | mfu: 39.3% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.073434 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,988 | mfu: 39.1% | epoch: 1 | remaining: 292s    
step 00037 (2.8%) | loss: 5.043238 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,119 | mfu: 39.4% | epoch: 1 | remaining: 291s    
step 00038 (2.9%) | loss: 5.012687 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,801 | mfu: 39.5% | epoch: 1 | remaining: 291s    
step 00039 (3.0%) | loss: 4.983723 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,606 | mfu: 39.4% | epoch: 1 | remaining: 291s    
step 00040 (3.1%) | loss: 4.951611 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,464 | mfu: 39.4% | epoch: 1 | remaining: 290s    
step 00041 (3.2%) | loss: 4.921234 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,981 | mfu: 39.4% | epoch: 1 | remaining: 290s    
step 00042 (3.3%) | loss: 4.894479 | lrm: 1.00 | dt: 320ms | tok/sec: 1,636,381 | mfu: 39.5% | epoch: 1 | remaining: 290s    
step 00043 (3.4%) | loss: 4.867479 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,310 | mfu: 39.4% | epoch: 1 | remaining: 289s    
step 00044 (3.5%) | loss: 4.837350 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,759 | mfu: 39.4% | epoch: 1 | remaining: 289s    
step 00045 (3.7%) | loss: 4.808330 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,992 | mfu: 39.1% | epoch: 1 | remaining: 289s    
step 00046 (3.8%) | loss: 4.778298 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,162 | mfu: 39.2% | epoch: 1 | remaining: 288s    
step 00047 (3.9%) | loss: 4.740142 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,006 | mfu: 39.4% | epoch: 1 | remaining: 288s    
step 00048 (4.0%) | loss: 4.715034 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,806 | mfu: 39.3% | epoch: 1 | remaining: 288s    
step 00049 (4.1%) | loss: 4.684531 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,041 | mfu: 39.3% | epoch: 1 | remaining: 287s    
step 00050 (4.2%) | loss: 4.653037 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,045 | mfu: 39.3% | epoch: 1 | remaining: 287s    
step 00051 (4.3%) | loss: 4.625788 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,345 | mfu: 39.4% | epoch: 1 | remaining: 287s    
step 00052 (4.4%) | loss: 4.595244 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,838 | mfu: 39.4% | epoch: 1 | remaining: 286s    
step 00053 (4.5%) | loss: 4.567412 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,866 | mfu: 39.2% | epoch: 1 | remaining: 286s    
