=== STDOUT ===
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SLLL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.642442e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 13996ms | tok/sec: 37,459 | mfu: 1.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.852976 | lrm: 1.00 | dt: 316ms | tok/sec: 1,656,788 | mfu: 44.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.454826 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,347 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.991217 | lrm: 1.00 | dt: 337ms | tok/sec: 1,555,532 | mfu: 41.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.594873 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,085 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.264258 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,244 | mfu: 44.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.013425 | lrm: 1.00 | dt: 336ms | tok/sec: 1,562,396 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.805698 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,268 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.626136 | lrm: 1.00 | dt: 322ms | tok/sec: 1,630,727 | mfu: 43.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.473968 | lrm: 1.00 | dt: 332ms | tok/sec: 1,581,426 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.344242 | lrm: 1.00 | dt: 333ms | tok/sec: 1,574,836 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.236230 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,012 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.139525 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,595 | mfu: 42.3% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.053519 | lrm: 1.00 | dt: 331ms | tok/sec: 1,585,618 | mfu: 42.3% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.981013 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,997 | mfu: 43.2% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.915771 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,410 | mfu: 42.5% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.860487 | lrm: 1.00 | dt: 332ms | tok/sec: 1,580,952 | mfu: 42.2% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.807140 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,806 | mfu: 43.0% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.759827 | lrm: 1.00 | dt: 332ms | tok/sec: 1,576,846 | mfu: 42.1% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.716102 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,019 | mfu: 42.6% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.676373 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,546 | mfu: 42.9% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.639773 | lrm: 1.00 | dt: 333ms | tok/sec: 1,573,522 | mfu: 42.0% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.608336 | lrm: 1.00 | dt: 333ms | tok/sec: 1,576,684 | mfu: 42.1% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.576350 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,600 | mfu: 42.7% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.546220 | lrm: 1.00 | dt: 332ms | tok/sec: 1,580,961 | mfu: 42.2% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.519911 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,286 | mfu: 42.7% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.496042 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,719 | mfu: 43.1% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.473740 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,805 | mfu: 42.3% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.453601 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,724 | mfu: 42.8% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.433196 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,724 | mfu: 42.9% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.411304 | lrm: 1.00 | dt: 331ms | tok/sec: 1,584,751 | mfu: 42.3% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.390251 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,454 | mfu: 42.1% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.371532 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,815 | mfu: 43.2% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.353629 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,338 | mfu: 42.5% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.330646 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,034 | mfu: 42.6% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.311498 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,330 | mfu: 42.5% | epoch: 1 | remaining: 292s    
