=== STDOUT ===
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSS'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.327869e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 13825ms | tok/sec: 37,922 | mfu: 0.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.858482 | lrm: 1.00 | dt: 311ms | tok/sec: 1,686,173 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.422874 | lrm: 1.00 | dt: 313ms | tok/sec: 1,677,369 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.953835 | lrm: 1.00 | dt: 352ms | tok/sec: 1,489,333 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.547635 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,507 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.224119 | lrm: 1.00 | dt: 316ms | tok/sec: 1,661,629 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.972228 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,613 | mfu: 37.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.761181 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,874 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.584431 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,495 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.435487 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,973 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.312622 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,826 | mfu: 37.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.210159 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,184 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.114756 | lrm: 1.00 | dt: 326ms | tok/sec: 1,608,211 | mfu: 37.8% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.028457 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,987 | mfu: 37.1% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.955505 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,202 | mfu: 38.6% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.889059 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,284 | mfu: 37.5% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.830930 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,767 | mfu: 38.2% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.773786 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,259 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.721713 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,238 | mfu: 38.2% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.671929 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,372 | mfu: 38.1% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.625378 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,780 | mfu: 38.9% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.581910 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,554 | mfu: 38.4% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.542692 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,367 | mfu: 38.2% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.500243 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,458 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.458751 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,448 | mfu: 38.1% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.420999 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,804 | mfu: 38.1% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.384641 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,457 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.348926 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,638 | mfu: 38.4% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.317952 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,096 | mfu: 38.4% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.288360 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,611 | mfu: 38.9% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.253477 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,358 | mfu: 38.3% | epoch: 1 | remaining: 294s    
step 00031 (2.1%) | loss: 5.218048 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,291 | mfu: 38.4% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.185003 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,573 | mfu: 38.1% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.155000 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,002 | mfu: 38.4% | epoch: 1 | remaining: 293s    
step 00034 (2.5%) | loss: 5.119141 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,804 | mfu: 38.2% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.087095 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,338 | mfu: 38.0% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.056321 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,348 | mfu: 38.2% | epoch: 1 | remaining: 292s    
step 00037 (2.8%) | loss: 5.026833 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,825 | mfu: 38.1% | epoch: 1 | remaining: 291s    
step 00038 (2.9%) | loss: 4.996452 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,055 | mfu: 38.1% | epoch: 1 | remaining: 291s    
step 00039 (3.0%) | loss: 4.966172 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,358 | mfu: 38.5% | epoch: 1 | remaining: 291s    
step 00040 (3.1%) | loss: 4.933526 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,610 | mfu: 37.7% | epoch: 1 | remaining: 290s    
step 00041 (3.2%) | loss: 4.904226 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,923 | mfu: 38.5% | epoch: 1 | remaining: 290s    
step 00042 (3.3%) | loss: 4.876791 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,529 | mfu: 38.2% | epoch: 1 | remaining: 290s    
step 00043 (3.4%) | loss: 4.846536 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,200 | mfu: 38.7% | epoch: 1 | remaining: 289s    
step 00044 (3.5%) | loss: 4.815230 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,199 | mfu: 38.2% | epoch: 1 | remaining: 289s    
step 00045 (3.7%) | loss: 4.784795 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,551 | mfu: 38.5% | epoch: 1 | remaining: 289s    
step 00046 (3.8%) | loss: 4.755942 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,536 | mfu: 38.6% | epoch: 1 | remaining: 288s    
step 00047 (3.9%) | loss: 4.717787 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,838 | mfu: 38.4% | epoch: 1 | remaining: 288s    
step 00048 (4.0%) | loss: 4.692219 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,671 | mfu: 38.8% | epoch: 1 | remaining: 288s    
step 00049 (4.1%) | loss: 4.661575 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,743 | mfu: 38.2% | epoch: 1 | remaining: 287s    
step 00050 (4.2%) | loss: 4.630280 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,210 | mfu: 38.4% | epoch: 1 | remaining: 287s    
step 00051 (4.3%) | loss: 4.604132 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,477 | mfu: 38.1% | epoch: 1 | remaining: 287s    
step 00052 (4.4%) | loss: 4.574690 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,843 | mfu: 38.2% | epoch: 1 | remaining: 286s    
step 00053 (4.5%) | loss: 4.547161 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,257 | mfu: 38.4% | epoch: 1 | remaining: 286s    
step 00054 (4.6%) | loss: 4.518505 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,669 | mfu: 38.3% | epoch: 1 | remaining: 286s    
step 00055 (4.7%) | loss: 4.490305 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,652 | mfu: 38.5% | epoch: 1 | remaining: 286s    
step 00056 (4.8%) | loss: 4.467181 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,342 | mfu: 38.5% | epoch: 1 | remaining: 285s    
step 00057 (4.9%) | loss: 4.443403 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,357 | mfu: 38.2% | epoch: 1 | remaining: 285s    
step 00058 (5.0%) | loss: 4.414771 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,808 | mfu: 38.5% | epoch: 1 | remaining: 285s    
step 00059 (5.2%) | loss: 4.393095 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,390 | mfu: 38.7% | epoch: 1 | remaining: 284s    
step 00060 (5.3%) | loss: 4.369723 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,917 | mfu: 38.2% | epoch: 1 | remaining: 284s    
step 00061 (5.4%) | loss: 4.343963 | lrm: 1.00 | dt: 317ms | tok/sec: 1,654,331 | mfu: 38.9% | epoch: 1 | remaining: 284s    
step 00062 (5.5%) | loss: 4.321464 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,388 | mfu: 38.6% | epoch: 1 | remaining: 283s    
step 00063 (5.6%) | loss: 4.295906 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,024 | mfu: 38.5% | epoch: 1 | remaining: 283s    
step 00064 (5.7%) | loss: 4.270928 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,821 | mfu: 38.6% | epoch: 1 | remaining: 283s    
step 00065 (5.8%) | loss: 4.242940 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,679 | mfu: 38.5% | epoch: 1 | remaining: 282s    
step 00066 (5.9%) | loss: 4.219067 | lrm: 1.00 | dt: 317ms | tok/sec: 1,653,446 | mfu: 38.9% | epoch: 1 | remaining: 282s    
step 00067 (6.0%) | loss: 4.196862 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,361 | mfu: 38.4% | epoch: 1 | remaining: 282s    
step 00068 (6.1%) | loss: 4.177229 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,602 | mfu: 38.7% | epoch: 1 | remaining: 281s    
step 00069 (6.2%) | loss: 4.158880 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,742 | mfu: 38.6% | epoch: 1 | remaining: 281s    
step 00070 (6.3%) | loss: 4.136803 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,866 | mfu: 38.6% | epoch: 1 | remaining: 281s    
step 00071 (6.4%) | loss: 4.120411 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,239 | mfu: 38.6% | epoch: 1 | remaining: 280s    
step 00072 (6.5%) | loss: 4.098551 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,478 | mfu: 38.5% | epoch: 1 | remaining: 280s    
step 00073 (6.6%) | loss: 4.075186 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,015 | mfu: 38.5% | epoch: 1 | remaining: 280s    
step 00074 (6.8%) | loss: 4.053676 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,152 | mfu: 38.6% | epoch: 1 | remaining: 279s    
step 00075 (6.9%) | loss: 4.035147 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,192 | mfu: 38.3% | epoch: 1 | remaining: 279s    
step 00076 (7.0%) | loss: 4.016490 | lrm: 1.00 | dt: 326ms | tok/sec: 1,609,538 | mfu: 37.9% | epoch: 1 | remaining: 279s    
step 00077 (7.1%) | loss: 4.003108 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,584 | mfu: 38.2% | epoch: 1 | remaining: 278s    
step 00078 (7.2%) | loss: 3.982058 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,216 | mfu: 38.4% | epoch: 1 | remaining: 278s    
step 00079 (7.3%) | loss: 3.964302 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,085 | mfu: 38.3% | epoch: 1 | remaining: 278s    
step 00080 (7.4%) | loss: 3.945715 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,548 | mfu: 38.6% | epoch: 1 | remaining: 277s    
step 00081 (7.5%) | loss: 3.928158 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,445 | mfu: 38.2% | epoch: 1 | remaining: 277s    
step 00082 (7.6%) | loss: 3.911495 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,766 | mfu: 38.2% | epoch: 1 | remaining: 277s    
step 00083 (7.7%) | loss: 3.893720 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,993 | mfu: 38.5% | epoch: 1 | remaining: 277s    
step 00084 (7.8%) | loss: 3.882736 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,601 | mfu: 38.5% | epoch: 1 | remaining: 276s    
step 00085 (7.9%) | loss: 3.879131 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,238 | mfu: 38.6% | epoch: 1 | remaining: 276s    
step 00086 (8.0%) | loss: 3.865805 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,365 | mfu: 38.2% | epoch: 1 | remaining: 276s    
step 00087 (8.1%) | loss: 3.852486 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,238 | mfu: 38.6% | epoch: 1 | remaining: 275s    
step 00088 (8.3%) | loss: 3.836036 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,444 | mfu: 38.1% | epoch: 1 | remaining: 275s    
step 00089 (8.4%) | loss: 3.819653 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,985 | mfu: 38.4% | epoch: 1 | remaining: 275s    
step 00090 (8.5%) | loss: 3.808203 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,300 | mfu: 38.3% | epoch: 1 | remaining: 274s    
step 00091 (8.6%) | loss: 3.794680 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,158 | mfu: 38.5% | epoch: 1 | remaining: 274s    
step 00092 (8.7%) | loss: 3.779951 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,204 | mfu: 38.3% | epoch: 1 | remaining: 274s    
step 00093 (8.8%) | loss: 3.771747 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,807 | mfu: 38.3% | epoch: 1 | remaining: 273s    
step 00094 (8.9%) | loss: 3.761026 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,603 | mfu: 38.2% | epoch: 1 | remaining: 273s    
step 00095 (9.0%) | loss: 3.753544 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,507 | mfu: 38.7% | epoch: 1 | remaining: 273s    
step 00096 (9.1%) | loss: 3.747354 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,856 | mfu: 38.8% | epoch: 1 | remaining: 272s    
step 00097 (9.2%) | loss: 3.733439 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,974 | mfu: 38.2% | epoch: 1 | remaining: 272s    
step 00098 (9.3%) | loss: 3.727725 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,285 | mfu: 38.5% | epoch: 1 | remaining: 272s    
step 00099 (9.4%) | loss: 3.720603 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,741 | mfu: 38.4% | epoch: 1 | remaining: 271s    
step 00100 (9.5%) | loss: 3.712844 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,820 | mfu: 38.6% | epoch: 1 | remaining: 271s    
